#{"t_start": 1772874713.4933107, "env_id": "None"}
r,l,t
422.286716,60,6.416882
1704.530393,200,7.192763
1795.761015,200,7.895139
2376.824785,200,14.895312
1619.008947,200,15.575623
1217.491052,200,19.981093
719.667567,200,20.7513
2395.275447,200,21.481284
669.472344,107,26.438495
934.397713,200,27.165688
1892.641464,200,27.928582
1626.578282,200,33.056656
1422.353904,200,33.717019
1282.616934,200,38.039468
369.408172,70,38.288888
897.039914,200,38.968489
1172.507563,200,39.693027
1191.526493,200,45.549075
1784.268679,200,46.267535
1572.005276,200,50.66064
1918.519404,200,51.361545
1804.268386,200,52.111653
25.877967,40,52.243298
1239.709202,200,58.029837
302.202894,82,58.311893
1143.616882,200,59.029205
1342.862284,200,64.412946
2011.136737,200,65.103863
1441.500465,200,69.370396
1965.856846,200,70.07249
1400.233948,200,70.778318
1156.726352,200,76.099119
1243.070653,200,76.801955
1006.736824,200,80.918324
1236.784673,200,81.602621
1698.789308,200,82.312029
1797.692114,200,87.83087
1693.208498,200,88.515646
1340.722796,200,89.230884
100.816875,42,93.891582
1649.119615,200,94.597159
732.076162,200,95.262429
1465.723044,200,100.500098
1299.822956,200,101.208328
1086.398086,200,105.928762
1987.933315,200,106.634256
1594.984129,200,107.312767
-41.789228,11,107.351025
1057.593788,200,112.723106
1400.095626,200,113.443652
1723.045943,200,114.202935
2061.290774,200,119.755454
1482.509745,200,120.457085
2263.954729,200,124.816136
2821.227213,200,125.534142
1107.107812,200,126.287321
1934.969808,200,131.780931
1210.622481,200,132.522867
-145.801216,14,132.571651
1377.817761,200,137.178758
1273.817428,200,137.871595
1608.560688,200,138.591687
2066.814142,200,144.133803
1965.632462,200,144.861114
755.693012,200,149.510449
1288.125085,200,150.2506
1523.880334,200,150.947607
-114.918201,6,150.964863
2253.593505,200,156.464769
1853.760276,200,157.183931
1128.077457,200,161.643435
2264.990901,200,162.379637
1567.144365,200,163.100616
1460.822571,187,168.168238
2081.553348,200,168.906172
1312.948018,200,169.635661
1673.671099,200,175.319902
1362.314104,200,176.094093
2020.651128,200,182.420772
1799.202072,200,183.144666
1186.974125,200,183.820659
1773.92788,200,189.151037
1611.374032,200,189.988734
1843.623988,200,194.948704
2062.125781,200,195.705387
1915.312189,200,196.5329
2131.615926,200,202.173155
1601.407954,200,202.954986
1897.637651,200,206.357655
2021.619203,200,206.910021
1442.92763,200,207.516908
1997.212379,200,211.787344
1661.133937,200,212.410123
1673.132041,200,216.062982
1217.889224,200,216.643932
2063.301755,200,217.245476
1922.999993,200,221.713921
1755.565467,200,222.36489
-174.500446,2,222.374919
2064.658805,200,222.960038
2271.43064,200,227.178484
1555.723852,200,227.794866
2140.477655,200,231.316253
1856.302341,200,231.899784
1746.004255,200,232.493248
2333.135376,200,236.622333
1410.383667,200,237.206363
1500.914349,200,240.333594
2075.840141,200,240.912736
1839.201835,200,241.467423
1531.924792,200,245.537782
2185.953875,200,246.144971
1659.084483,200,249.390041
1035.392754,200,249.936066
1616.960598,200,250.544305
1827.999248,200,254.719683
1736.71301,200,255.284572
1965.856299,200,258.672182
1931.009864,200,259.252963
1738.095063,200,259.809816
-186.259607,1,259.820022
1642.751052,200,263.893712
2255.001065,200,264.459217
1926.645036,200,265.04405
