#{"t_start": 1770400388.2704017, "env_id": "None"}
r,l,t
984.033111,200,5.593768
1413.118701,200,5.941017
1363.390682,200,6.289275
1050.192575,200,6.602163
1358.270074,200,6.891465
1394.492583,200,7.235739
1532.280866,200,7.595848
2597.821343,195,7.928553
1289.102757,200,8.243814
1346.44344,200,8.64487
1907.109924,200,12.388097
1506.315118,200,12.754469
1462.799576,200,13.135808
1878.558392,200,13.52051
-163.006257,11,13.541739
1780.030413,200,13.902027
1291.264872,175,14.205301
1176.704062,168,14.505926
1854.843348,200,14.921374
1203.658626,200,15.205955
2340.009211,200,15.483435
1435.597009,200,18.906223
2357.386739,200,19.308421
957.124683,116,19.52722
1136.592645,131,19.775967
2490.084154,200,20.158259
1618.644613,200,20.545747
1370.673511,200,20.85119
652.760101,200,21.266284
1295.06472,200,21.725235
1251.496666,200,22.116902
1303.691032,200,22.46105
2060.993141,200,31.072144
1346.051528,200,31.981853
1610.902734,200,32.884907
140.34097,42,33.080037
1959.983799,200,33.976571
1542.565745,200,34.787159
529.098857,69,35.082707
1118.414951,130,35.635402
1427.793461,200,36.467169
1611.255847,200,37.405655
359.744922,77,37.727063
523.701631,65,38.028592
-140.470545,14,38.090011
1048.848681,200,38.478779
1507.713852,200,44.53705
1264.916867,200,45.362981
2175.845009,200,46.265568
1215.696118,200,47.155521
1714.732799,200,48.129364
1256.231289,200,49.057925
1668.143557,200,50.009857
1810.153524,200,50.958643
2883.929413,200,51.924186
1191.563096,200,52.504417
1498.383647,200,52.976076
1337.067314,200,63.468213
2011.870061,200,64.51723
1561.242936,200,65.521768
1983.624584,200,66.443437
2124.581703,200,67.316668
1997.995774,200,68.121765
807.277782,200,69.04076
1956.185247,200,70.019112
-71.9245,14,70.091674
1687.58298,200,71.032663
1548.655828,200,71.952958
1878.835945,200,83.832826
1402.00835,200,84.801761
1629.763703,200,85.756498
1431.2915,200,86.679687
1321.349739,200,87.622214
2035.307988,200,88.551989
1757.502432,200,89.504357
1475.083342,159,90.255363
720.321592,113,90.820157
1486.802753,200,91.758689
1451.829225,200,92.679922
1227.493897,122,103.350037
1280.579737,200,104.306188
2193.736125,200,105.248858
-181.100817,9,105.288569
2315.103148,200,106.347041
1627.123964,184,107.21907
1828.444902,200,108.222014
1599.712774,200,109.165333
1327.493725,119,109.728923
1890.850905,200,110.541341
856.455065,90,110.92743
1183.900002,200,111.957716
1804.988253,200,122.928434
1289.759122,200,123.465787
2158.752564,200,123.937079
1205.316332,200,124.377162
1619.551481,200,124.858958
1718.896039,200,125.684159
1665.998884,200,126.735168
2340.061324,200,127.672776
823.557152,77,128.036419
271.421248,80,128.376876
127.579588,29,128.517517
2014.742345,200,129.496761
1650.61285,200,130.473371
3471.843874,200,141.33947
1600.994665,200,142.302403
