#{"t_start": 1770188201.7111228, "env_id": "None"}
r,l,t
3969.258033,200,3.539337
3131.335451,200,3.729182
3748.938347,200,3.90606
1243.462693,63,3.9825
4251.731523,200,4.179836
-196.975625,1,4.19027
3424.981156,200,4.383218
-37.152228,18,4.408474
2355.64102,200,4.585334
3413.789064,200,4.766662
3295.943399,200,4.948447
4142.358901,200,5.125752
4259.274259,200,7.008687
4316.814773,200,7.180964
1257.316639,200,7.365021
4238.455117,200,7.573167
3177.471099,200,7.765828
4094.820228,200,7.961091
3255.238601,200,8.173322
4145.392287,200,8.365527
4213.486067,200,8.590682
3740.586472,200,8.770947
2947.076108,200,8.964904
3851.60502,200,10.84393
3292.793097,200,11.027077
3250.413295,200,11.219234
3564.410154,200,11.397794
4331.811055,200,11.609276
3363.787538,200,11.796194
102.161463,26,11.823782
3363.905415,200,12.008878
2484.430231,200,12.186746
3154.088155,156,12.343889
3046.693571,200,12.525504
-162.533004,3,12.535592
2755.835128,200,14.447425
3592.273562,200,14.637113
3943.149574,200,14.820077
465.610971,31,14.85296
2538.602554,200,15.032067
3648.477657,200,15.224504
4204.903729,200,15.397748
3832.202287,200,15.583598
-181.142969,1,15.583598
2773.342189,167,15.744226
3308.935293,200,15.917943
3894.705704,200,16.107041
1925.282163,200,18.008962
2260.909901,200,18.194403
3955.707616,200,18.389596
3949.542708,200,18.57163
2277.641219,200,18.76366
1023.518652,200,18.934572
1764.949261,111,19.034134
1372.097392,82,19.120681
3608.342217,200,19.293648
3735.579776,200,19.47963
465.638407,68,19.544257
4089.098548,200,19.714617
2147.885942,200,21.733331
3790.996361,200,21.921731
4098.591363,200,22.105717
2207.550741,200,22.276407
-199.360038,1,22.28658
3853.421654,200,22.460998
4156.795077,200,22.652446
3872.387329,200,22.83329
3420.140733,200,23.017291
2052.904679,200,23.204783
3996.176297,200,23.385293
3945.125133,200,25.197475
3021.726953,200,25.391288
492.690737,45,25.441692
4125.088694,200,25.625602
3971.224865,200,25.803638
675.952452,54,25.864819
3499.157115,200,26.090434
3749.013458,200,26.286032
718.097364,48,26.33754
2598.081389,200,26.525786
1835.002551,200,26.7287
4004.875586,200,26.91585
2952.904741,200,27.094553
1449.788145,80,28.787863
2092.939668,200,28.972052
3601.684026,200,29.149944
3690.076131,200,29.325533
3928.64956,200,29.502767
3318.255829,200,29.683615
3600.111353,200,29.878289
3501.625445,200,30.051003
273.132274,21,30.080339
3209.317142,200,30.259219
-90.795929,4,30.270776
1986.246985,200,30.472806
2842.08689,200,30.652267
643.769528,47,32.420489
2301.569186,200,32.6093
3636.184692,200,32.788593
1880.689256,200,32.970992
3913.817685,200,33.145336
2372.111962,200,33.328922
4085.284906,200,33.518076
4085.259387,200,33.69335
3268.10009,200,33.885473
4520.929877,200,34.061992
4011.930044,200,34.241378
3817.66085,200,36.056566
3301.867183,200,36.231874
1629.785143,200,36.413648
2017.164772,200,36.595076
3820.941502,200,36.776312
3533.255331,200,36.953083
4268.14914,200,37.141793
-195.912717,1,37.141793
404.699319,46,37.186778
2548.609766,200,37.362387
3993.839587,200,37.536775
2848.489287,200,37.716835
2112.73223,200,39.561296
197.517391,20,39.579792
3384.221334,200,39.756516
1418.421912,200,39.936702
3926.356191,200,40.116449
3494.877815,200,40.294263
2882.749523,161,40.438115
1744.229403,88,40.520494
1829.741367,200,40.710276
3921.526097,200,40.877406
4703.572934,200,41.05798
881.486038,74,41.121109
517.345643,35,41.155825
3494.209217,200,42.892136
1930.844097,200,43.065576
4166.256028,200,43.242246
3206.692331,200,43.424567
4115.688201,200,43.608209
-52.488346,7,43.616131
2863.565154,200,43.788556
3941.390399,200,43.963952
3238.689724,200,44.147192
3111.648742,200,44.327043
3622.557679,200,44.508746
3497.302341,200,46.205148
2097.638847,200,46.386838
1991.557107,200,46.577166
4082.073075,200,46.772734
3335.24968,200,46.948239
2126.739539,116,47.050911
-176.496428,1,47.050911
3501.378272,191,47.230972
3092.820154,200,47.420584
3132.228949,200,47.611995
3124.541287,200,47.788851
1798.368421,90,47.867581
3322.413786,200,49.612123
3626.048285,198,49.786829
3800.101115,200,49.954402
1886.426342,200,50.138017
3858.052828,200,50.317466
3071.7044,200,50.489568
1115.453294,82,50.572125
3975.35803,200,50.749415
1529.967195,200,50.928001
2591.708258,137,51.05214
3900.502471,200,51.225393
3839.527335,200,52.974578
-194.668292,1,52.974578
3607.524327,200,53.162061
3949.901781,200,53.334796
4195.834394,200,53.518948
1575.943956,200,53.693651
2151.642429,200,53.884204
92.121898,17,53.900692
3637.413994,200,54.072128
2197.46811,200,54.2556
3115.67706,200,54.43182
3348.808058,200,54.635464
2797.860497,200,54.827004
3679.224751,200,56.628656
4204.587534,200,56.830777
3118.238939,200,57.041637
2670.310526,200,57.232984
90.351658,24,57.25851
3488.217495,200,57.439173
877.747713,153,57.592149
3730.147197,200,57.767887
2078.354891,200,57.958754
3698.171349,200,58.15054
3909.867967,200,58.337
1801.848294,200,60.064593
2250.789119,200,60.244074
1798.824826,104,60.345822
3649.452016,200,60.568828
3512.48987,200,60.750084
555.49005,42,60.787375
4384.055583,200,61.004006
2319.811879,200,61.19018
