#{"t_start": 1770867923.6991062, "env_id": "None"}
r,l,t
2070.501704,200,2.712675
1883.405746,200,2.77896
2094.722687,200,2.830509
1855.70767,149,2.874633
3048.841904,200,2.936651
2829.042357,200,5.299395
1304.410153,200,7.669876
2704.780108,200,10.092048
2296.869788,200,12.479468
2305.488069,200,14.873504
1868.129447,200,17.281663
3438.366074,200,19.583941
2580.227187,200,21.772815
2798.182653,200,23.961572
2560.241612,200,26.218674
2256.505926,200,28.551807
3597.2384,200,30.772787
2693.361369,200,33.058901
2764.779582,200,35.486381
3146.816994,200,37.768701
2775.466585,200,40.040262
228.551957,22,40.310544
2616.575236,200,42.675696
3161.074695,200,44.906776
3160.913539,200,47.279076
-203.046566,1,47.287712
7.86791,18,47.494702
3860.042666,200,49.787617
3482.9063,200,52.118446
2866.664051,200,54.51439
2950.560663,200,56.824859
3343.983042,200,59.172983
3375.786757,200,61.588846
-156.624513,6,61.660894
2443.615876,156,63.411233
2448.542556,200,65.649129
3593.124066,200,67.886879
4529.696119,200,70.272628
3786.591994,200,72.602478
3430.233893,200,74.574677
3537.40623,200,76.692082
3718.167464,200,78.878706
3663.983227,200,80.974403
3153.30161,200,83.028594
3323.680529,200,85.048641
2921.477206,200,87.034519
3598.38206,200,88.977744
3435.428805,200,90.91316
3672.194318,200,92.922443
3056.975483,200,94.839461
3107.062632,200,96.84811
4103.44638,200,98.733531
3976.170739,200,100.631671
3512.580202,200,102.950992
3516.245298,200,104.994695
3079.423141,200,107.002298
3689.151462,200,108.905678
3777.680216,200,110.789507
3307.510523,200,112.734811
3136.930085,200,114.6763
3653.406932,200,116.643551
2632.630509,200,118.566025
3319.550251,200,120.573907
3704.944019,200,122.635219
3264.860764,200,124.683818
3582.627217,200,126.634438
4118.471384,200,128.677082
3571.786233,200,130.684341
3638.851451,200,132.773012
2180.426877,159,134.335807
2859.455458,200,136.205137
3393.331489,200,138.113567
3104.571323,200,140.184057
3468.428289,200,142.202896
-103.042289,10,142.348401
3175.078716,200,144.330574
2363.116943,200,146.311273
3346.922733,200,148.262583
2958.370785,200,150.199946
1234.215427,94,151.124671
-159.343002,6,151.207578
1107.200728,72,151.894987
2644.710526,200,154.188862
2282.218244,200,156.600845
3527.030175,200,159.062179
1899.156792,200,161.424128
3667.815741,200,163.692771
3921.404425,200,165.820105
3009.149821,200,167.869146
3252.609813,200,170.089915
3331.008572,200,172.283703
3556.361038,200,174.540153
3482.918326,200,176.608788
3980.42496,200,178.952443
2949.203517,200,181.467042
-16.429496,17,181.65175
3113.329299,200,183.893838
3210.588986,200,186.161361
-122.86394,7,186.235969
3673.920441,200,188.387244
3815.780498,200,190.626955
3777.183185,200,192.909966
3395.756063,200,195.516382
2860.55595,200,198.148874
3637.062577,200,200.457845
3654.062638,200,202.826781
3608.910704,200,205.17854
3502.486102,200,207.28774
3640.406575,200,209.55082
2426.237534,200,211.961575
3370.22886,200,214.239604
3661.798759,200,216.522509
3886.118153,200,218.797117
3335.697487,200,220.958527
