#{"t_start": 1770923807.9779322, "env_id": "None"}
r,l,t
1383.927387,200,3.46152
1328.89682,200,3.526621
3066.270469,200,3.579674
1156.024296,200,3.640407
1455.308081,200,3.705087
2592.616843,200,3.77039
92.512906,35,3.78093
1876.392091,200,3.836463
1960.23077,200,3.902743
2431.719645,200,3.961693
1221.938955,200,4.02362
3176.920195,200,4.074597
1219.345117,200,4.146221
2380.105921,200,4.207567
1335.897634,157,4.26033
520.190069,73,4.282188
1678.896939,200,4.339088
1554.98838,200,4.390254
3153.820132,200,4.452658
2555.231607,200,4.513653
1752.054911,200,4.572777
1715.275878,200,4.62958
2912.39983,200,4.695576
495.610322,62,4.713767
1545.475331,200,4.774659
937.502967,200,4.829569
2801.084311,200,4.894469
1375.233471,153,4.94031
2393.820537,200,5.006705
2611.14475,200,5.056304
1834.23515,144,5.107358
929.147034,200,5.154764
1696.149654,200,5.222464
2138.689316,200,5.285409
2136.643579,200,5.343394
2884.414522,200,5.404318
2808.205351,200,5.47238
1127.792749,106,5.504395
2244.253226,187,5.555619
2330.420951,200,5.613771
-71.91543,13,5.623642
1539.574395,144,5.663178
3033.60201,200,5.724117
1900.851197,200,5.784129
2080.518193,200,5.847421
1832.075358,200,5.898682
1651.873616,200,5.95045
456.497429,61,5.972927
549.184437,61,5.994161
2212.111753,200,6.047566
-147.734971,3,6.047566
921.902729,96,6.078609
2201.256574,200,6.152223
1981.431575,200,6.208983
811.764639,86,6.236897
2465.836705,200,6.298733
2214.092305,180,6.36341
2094.128117,200,6.428311
2034.506645,200,8.555299
1193.688953,111,9.829358
-130.134247,10,9.940106
1753.08439,200,11.865344
2673.757841,200,13.900266
1998.044635,200,15.945314
-106.007493,11,16.079837
1307.916161,200,18.258994
2296.881112,200,20.583112
2225.28256,200,22.900589
2906.507052,200,25.252649
2338.104819,200,27.640337
3292.48011,200,30.078665
2214.737219,200,32.385434
2483.762073,200,34.648225
2627.136896,200,36.663951
3059.074709,200,38.915345
3301.953565,200,41.014759
2974.886762,200,42.956926
2700.243629,200,44.87287
2163.965795,200,46.754189
3290.232538,200,48.65664
3226.160592,200,50.59792
3502.41139,200,52.470731
3000.038888,200,54.348668
3851.316135,200,56.556062
3539.232099,200,58.962765
3206.04749,200,61.224577
3264.270144,200,63.513368
2982.59314,200,65.685032
3152.165322,200,69.943738
351.152832,39,70.375584
3623.519533,200,72.817376
3964.149243,200,75.418059
3654.506253,200,78.004526
-196.209157,1,78.014854
3835.717964,200,80.401574
2661.310587,200,82.815618
