#{"t_start": 1770443879.6521912, "env_id": "None"}
r,l,t
335.07117,200,4.034138
323.358232,200,4.105638
3146.658718,200,4.164635
-798.445643,4,4.168692
2551.766324,200,4.23831
-816.969061,12,4.243747
10308.536382,200,4.385695
-980.233445,1,4.391465
7361.503781,200,4.652699
9026.047375,200,4.910114
10755.857857,200,5.137542
-194.708999,14,5.156533
5729.172118,200,5.424484
-407.224927,20,5.446217
11947.535794,200,5.681712
6697.734547,118,5.821064
3641.249064,139,5.980797
-319.057017,19,6.001338
14109.394499,200,6.252816
417.969053,37,6.299349
-753.477145,42,6.354383
9135.481759,200,6.594048
3870.485977,200,6.86545
885.122446,200,7.12849
9875.481363,200,7.448794
-607.591658,22,7.476626
1719.522358,200,7.779197
6771.961728,200,8.11865
2956.891887,80,8.230827
5036.22506,200,8.547273
-456.946431,59,8.628253
13169.706926,200,8.918502
6618.342043,200,9.238629
2884.760216,72,9.355407
4368.976938,200,9.61666
-791.262773,15,9.648957
4092.886532,159,9.871113
5139.09769,200,10.357332
12543.080274,200,10.643112
1277.254044,54,10.717512
-1002.031157,1,10.724654
1882.739454,200,10.975823
7778.584926,200,11.232825
2785.480329,200,11.503679
58.572028,24,11.538041
3452.993411,200,11.772099
-461.537772,43,11.822752
4523.06487,200,12.079911
635.582796,200,12.331136
12642.495281,200,12.570071
9686.728328,200,12.81164
7639.68854,200,13.089267
10699.258875,200,13.279982
1236.43198,200,13.458462
2147.408286,200,13.650229
1590.973332,200,13.840057
13700.42924,200,14.068069
9408.335549,200,14.358815
7855.5905,200,14.612212
490.39734,113,14.728863
13688.11745,200,14.949015
1929.663036,200,15.146757
-315.459284,19,15.168663
11766.226432,200,15.395708
2045.962033,62,15.462058
2601.545792,61,15.531343
1370.423484,200,15.730364
663.363683,200,15.951662
11735.358553,200,16.197232
11838.839666,200,16.46705
223.031731,60,16.539916
8036.247979,200,16.815356
1418.100085,200,17.081696
3189.096424,67,17.16263
10278.846451,200,17.486186
3734.978883,200,17.723232
10130.453468,200,18.036067
5890.980417,200,18.248971
12734.466282,200,18.537031
1647.85041,200,18.754964
2726.887891,200,18.953519
3222.031377,200,19.166991
2643.434196,200,19.36621
4381.676254,81,19.451542
-652.956799,10,19.464914
12956.170887,200,19.660719
802.78479,64,19.730674
14379.289102,200,19.949528
10659.054476,200,20.157439
8248.423036,200,20.364945
2107.26854,200,20.579778
846.930208,200,20.775407
6537.26189,200,20.975181
10769.234034,200,21.173573
1584.794375,200,21.343427
11480.19076,200,21.524624
3903.372008,200,21.722024
4450.988544,111,21.853211
-788.231141,11,21.867537
11648.699296,200,22.110708
9546.919159,200,22.305839
-969.327072,1,22.306522
11497.453194,200,22.519568
8841.760778,200,22.729986
1877.137513,200,22.945622
-5.987246,24,22.972469
8355.945022,200,23.195069
2469.347796,200,23.401111
8911.569222,200,23.605754
-209.843784,200,23.813031
4469.414015,200,24.033546
839.38094,200,24.230866
12411.961864,200,24.417475
-982.240154,1,24.417475
11003.11646,200,24.624059
11757.277236,200,24.875654
2822.758504,200,25.09441
-955.34378,1,25.09852
3280.710704,181,25.272716
3080.157073,200,25.490217
-984.840962,1,25.496225
10559.719029,200,25.69671
3416.653804,200,25.898226
5147.851122,200,26.112211
4803.78559,200,26.324755
438.012908,200,26.536691
10853.36134,200,26.802359
3040.216396,200,27.023015
13592.395729,200,27.237856
3971.110244,200,27.435418
6972.951483,200,27.692284
10594.798876,200,27.902353
-913.728773,2,27.912389
12077.41381,200,28.15022
381.574497,200,28.360925
13169.213959,200,28.579605
9109.850346,200,28.800009
10336.989258,200,29.026896
8365.929175,200,29.259323
9820.162691,200,29.480961
5703.653083,200,29.685246
5558.009817,200,29.90149
6785.974236,200,30.108401
3548.40305,200,30.309042
10031.02653,200,30.521573
11256.169432,200,30.74009
7050.167547,200,30.961319
-600.171443,16,30.979202
2966.518321,200,31.193977
10148.181119,200,31.418631
8517.568935,200,31.669651
11020.135741,200,31.954855
10263.056945,200,32.182666
878.550819,200,32.447112
9004.856082,200,32.643216
-65.901343,22,32.66331
7738.073432,200,32.883431
8230.269284,200,33.073959
8531.191619,200,33.296065
5573.16892,200,33.511319
8133.97923,200,33.733852
6154.124266,106,33.858985
3333.176984,200,34.097263
4820.751699,200,34.323029
9717.639286,200,34.559272
3766.430017,200,34.780774
8377.877941,200,35.023303
11599.290006,200,35.274454
1199.832433,37,35.323204
9699.738084,200,35.552107
-946.771231,89,35.666197
9368.93863,200,35.925315
9096.015825,200,36.165785
10009.054719,200,36.363025
190.327878,200,36.538975
1259.422313,200,36.705461
2140.536457,161,36.846593
10225.843998,200,37.045066
10151.030775,200,37.229984
-307.354659,200,37.411191
10011.634301,200,37.609863
2420.366767,200,37.796131
10223.769164,200,37.983402
12728.094828,200,38.17193
6739.511481,200,38.36228
14513.015592,200,38.551723
944.637113,32,38.584657
8636.627927,200,38.782431
-868.33977,17,38.80899
-909.825677,2,38.811674
7259.733244,200,39.003906
12714.944085,200,39.186684
4025.871489,187,39.364715
4800.050856,200,39.561832
4694.463638,200,39.750258
11893.354307,200,39.944061
8691.012568,200,40.157056
13704.178956,200,40.351105
11520.614117,200,40.56492
1255.003134,32,40.599065
13066.115987,200,40.854899
10912.733168,200,41.081188
9391.183775,200,41.303753
3930.92524,200,41.508494
11523.735555,200,41.760031
3286.356713,200,41.970723
9386.98709,200,42.183726
12173.328666,200,42.40976
8422.170083,200,42.645597
2446.49657,200,42.905221
9442.7056,200,43.130823
1419.63329,47,43.183576
-132.53779,14,43.203062
8154.224081,184,43.399816
7455.014564,183,43.591683
4987.998815,200,43.799431
11692.089301,200,44.035042
12835.381742,200,44.23152
-860.395927,3,44.237421
6365.686803,200,44.438896
11082.621456,200,44.64614
10426.672801,200,44.851002
5312.05372,200,45.059712
471.558288,27,45.087565
9601.681091,200,45.32822
806.662049,200,45.514274
1717.202525,200,45.726119
14246.964349,200,45.911586
10241.924144,200,46.118251
11896.445301,200,46.315597
7825.524031,200,46.57019
-899.139295,2,46.577324
2263.744213,166,46.748103
11012.929326,200,46.962496
5967.255382,200,47.150107
4955.766455,200,47.337435
-312.148851,53,47.396272
2232.118942,200,47.627325
12383.494696,200,47.83518
761.286927,200,48.022714
2787.420382,200,48.236771
10162.478671,200,48.461536
7554.865605,200,48.694727
12021.263661,200,48.940872
9415.75447,200,49.197762
13902.552818,200,49.425709
11490.642234,200,49.66869
595.579514,200,49.89512
1543.779293,200,50.143067
7771.014984,200,50.392192
9294.124075,200,50.599264
2475.089735,200,50.792466
7239.286157,200,51.010282
9521.870163,200,51.232339
9628.771537,200,51.428153
7014.605234,200,51.639611
4659.003614,200,51.834462
10961.218997,200,52.015189
13863.958554,200,52.206345
10195.814618,200,52.410267
8539.47972,200,52.619312
9027.244938,200,52.808013
2133.426376,200,52.996404
9033.785231,200,53.5423
11897.034186,200,54.30676
10259.584874,200,54.980235
-64.06751,200,55.5768
2580.784923,200,56.113345
9072.138387,200,56.700063
-894.54614,9,56.737406
10128.693375,200,57.283268
5221.623525,200,57.899472
7263.6616,200,58.458584
8504.560886,200,59.00048
13679.739779,200,59.593022
3396.364975,200,60.099746
2026.839063,200,60.686868
4757.198944,200,61.272775
8538.126234,200,61.865947
7223.569785,200,62.433877
1514.944892,200,63.026241
2213.691491,200,63.548886
2934.107516,200,64.043585
6047.612651,200,64.599783
9772.898476,200,65.281919
6352.142706,200,65.861419
5781.876146,200,66.484073
1361.511833,200,67.013819
10494.961571,200,67.643084
3153.445058,200,68.22599
285.598111,200,68.81016
-998.558079,1,68.820209
6746.30452,200,69.453889
14692.46669,200,70.082494
12909.866426,200,70.750623
8471.577045,200,71.240425
6339.700019,200,71.824624
14804.10238,200,72.580797
4078.830737,200,73.155516
3790.238135,200,73.711022
8066.892112,200,74.295218
12915.18274,200,74.851042
-1003.093795,1,74.855298
7922.761928,200,75.419389
7789.502406,200,76.052574
1014.742762,44,76.193135
6696.55201,200,76.759268
11675.377747,200,77.473644
11879.638825,200,78.213317
9894.111203,200,78.805001
7625.852139,200,79.36376
10656.876505,200,79.938267
-38.808931,200,80.430427
-998.991893,1,80.452344
5470.804229,200,81.042581
4868.611257,90,81.271828
9503.07121,200,81.833979
7324.326674,200,82.496162
12480.531982,200,83.103944
11440.335315,200,83.744341
10161.227054,200,84.403503
12520.751964,200,85.028271
9945.549873,200,85.590613
15667.500455,200,86.17439
2642.063068,200,86.72003
11467.534195,200,87.349323
11343.117673,200,88.01571
6041.328784,200,88.66153
5135.938705,121,88.994691
9561.401033,200,89.535094
1059.322556,200,90.147538
1859.080459,200,90.702106
1711.536114,200,91.238736
9710.08823,200,91.811861
11258.83277,200,92.426017
14594.07035,200,92.982095
14130.787978,200,93.600837
10569.002681,200,94.195279
9028.196154,200,94.895832
7118.125504,200,95.538401
8227.544891,200,96.15654
10869.896061,200,96.662361
6103.673003,200,97.23984
600.35465,200,97.793056
8570.025225,200,98.489168
1078.17582,200,99.100285
12740.878053,200,99.728483
9857.32073,200,100.328551
7715.092242,200,100.966611
3370.953771,200,101.511312
5486.330346,104,101.835636
1746.140434,200,102.397493
3797.198057,200,103.051023
9610.746709,200,103.624224
-1164.15385,180,104.152002
13872.07041,200,104.751352
16.433912,200,105.297767
928.878462,49,105.467454
2617.569353,71,105.688939
4743.582968,200,106.328657
11885.735425,200,106.972153
12369.543836,200,107.592974
2662.37744,200,108.15888
13262.876402,200,108.799679
969.199899,200,109.402495
11368.119187,200,110.014379
10106.692463,200,110.58229
310.946541,200,111.19365
1466.12219,200,111.790972
-496.345229,21,111.867407
5036.499832,200,112.430213
-986.569563,1,112.432902
11439.894007,200,113.07459
2833.699491,200,113.620986
12555.400261,200,114.211704
-970.575083,1,114.231842
12194.464577,200,114.922652
13022.187609,200,115.492722
5305.526679,200,116.079429
8957.533262,200,116.64756
1497.549308,200,117.22393
1253.924506,200,117.791469
10821.9801,200,118.360894
14733.551912,200,119.040852
-254.12993,10,119.079763
3593.440979,200,119.951937
2958.032341,200,120.562246
8824.12259,200,121.181378
3066.843249,200,121.744918
13208.498323,200,122.342985
4329.239811,200,123.040308
5969.553695,200,123.713208
3612.841766,200,124.315456
7164.025794,200,124.889578
10904.820215,200,125.508236
6745.924203,200,126.083059
8727.694279,200,126.706159
226.170881,200,127.226776
4712.208726,200,127.84512
9798.844566,200,128.441865
7422.398752,200,129.08816
-395.288219,9,129.137014
11556.626567,200,129.644924
10682.672439,200,130.247336
4572.344478,200,130.872087
7317.090973,200,131.572919
4698.368293,200,132.309851
5009.332951,200,133.150889
9753.516877,200,133.728077
677.835778,200,134.30185
13135.60069,200,134.924292
11528.844598,200,135.525466
2161.455222,200,136.094362
1665.355644,200,136.700803
4463.843457,200,137.329423
2889.637597,200,138.022824
-959.057327,11,138.07684
3008.94345,200,138.941173
2365.323664,200,139.490909
2240.51057,77,139.723781
6051.735687,200,140.410951
12105.036559,200,140.998271
8185.418296,200,141.650007
2458.983424,200,142.212389
9020.352688,200,142.918856
257.343546,200,143.56275
1866.458945,200,144.248274
-975.118004,1,144.254916
9596.52474,200,144.84951
1134.03772,200,145.35295
2687.7506,200,145.911983
5257.83215,200,146.40835
13378.869543,200,147.054292
2105.035822,200,147.591601
786.747734,200,148.122426
12327.203906,200,148.681674
5284.161599,200,149.289374
6354.357987,200,150.009189
10454.648965,200,150.585011
7859.677001,200,151.264115
9597.196406,200,151.921753
8805.774125,200,152.587965
6935.440993,200,153.176771
12123.137134,200,153.77517
4584.623646,200,154.30401
9287.641047,200,154.978104
205.830961,200,155.595351
9556.677979,200,156.188185
6307.79549,200,156.924637
560.142971,200,157.532944
4605.02861,200,158.176332
10169.513845,200,158.80191
3198.147187,200,159.359139
10157.028911,200,159.977248
3537.067198,200,160.572773
2209.265393,61,160.786456
13434.670053,200,161.422389
7754.88817,200,162.104378
6551.727138,200,162.700456
3989.366259,200,163.311183
10490.259922,200,163.930746
9765.718898,200,164.513627
6502.884431,200,165.113637
9113.746301,200,165.701625
8321.164495,200,166.40167
8268.421609,200,167.006032
11012.245723,200,167.671662
10706.632396,200,168.292711
891.404493,200,168.900437
9249.107632,168,169.411222
7596.889396,200,169.966303
3313.815824,200,170.567202
2958.645234,200,171.164336
9888.358039,200,171.779068
4524.54753,200,172.396092
2597.022329,200,173.062494
15570.342306,200,173.701478
1502.619167,200,174.221048
5300.935036,200,174.83121
9761.276174,200,175.462089
7472.20917,200,176.115171
4137.656883,200,176.801335
4851.342392,200,177.438734
11544.707485,200,178.011325
10807.565749,200,178.714638
-972.553606,1,178.73215
10278.39786,200,179.386517
11604.58554,200,179.990329
3445.639465,200,180.629277
5828.830875,200,181.236393
7574.132708,200,181.896654
12046.057267,200,182.488799
11945.643706,200,183.166399
3929.873289,74,183.396508
6436.925904,200,184.032917
-428.603945,15,184.10008
2277.226087,200,184.709918
7978.131639,200,185.315784
2191.535743,200,185.847295
4418.859576,200,186.431695
3833.184591,200,187.156102
11108.625976,200,187.770929
12274.375713,200,188.417063
7530.150252,200,189.025187
2183.499677,200,189.612326
10824.911851,200,190.291388
7547.058446,200,190.948658
4214.874342,200,191.538765
8243.383102,200,192.194779
615.848015,200,192.84323
4892.394866,200,193.430357
-979.350278,1,193.440541
3526.458785,200,194.0703
