#{"t_start": 1770228867.0307302, "env_id": "None"}
r,l,t
6487.453945,200,8.35449
1672.315808,200,8.686274
1569.548047,200,9.053583
4038.924337,108,9.24579
8425.123956,200,9.652113
1393.077451,60,9.780562
1325.642002,114,10.030421
8398.179792,160,10.336198
-722.24125,5,10.346152
9848.544018,200,10.740451
-946.692081,2,10.750176
1063.184729,200,11.140078
8558.41424,200,11.515114
8006.171831,200,15.964641
1916.076901,200,16.374027
1150.033373,200,16.701618
1537.913089,200,17.018146
4997.153541,200,17.420196
4839.108826,200,17.762203
2967.372429,200,18.136009
-107.767798,16,18.193102
84.722604,23,18.273236
8129.457569,200,18.613299
4672.81351,200,18.993296
1902.134704,200,19.346458
9479.095296,200,19.716993
-910.057388,3,19.724529
3196.945058,127,23.822876
10013.576214,200,24.275564
1262.763732,83,24.422966
8378.342486,176,24.741771
2773.111136,200,25.121811
5262.215089,200,25.47353
833.883201,200,25.837468
1820.87753,200,26.24851
6914.49469,200,26.608391
9594.943833,200,27.019729
11954.925345,200,27.370361
10053.861147,200,31.43498
3420.588215,193,31.756455
4277.302241,200,32.134248
1507.027207,49,32.22634
-1002.734108,1,32.230241
-572.481598,33,32.292005
-1002.347248,1,32.295207
11644.591005,200,32.672738
-628.059509,18,32.719347
7655.96107,143,33.022074
8982.82095,200,33.358568
2674.548821,188,33.695495
-333.127077,63,33.835886
7276.316071,156,34.090602
6779.376599,200,34.450064
-717.508221,5,34.461927
69.784695,82,34.617281
-972.787871,4,34.627162
13534.95369,200,38.888716
3904.47789,200,39.402349
8397.182358,200,39.81602
11861.026419,199,40.260914
868.901019,200,40.864998
7615.932565,200,41.265971
13240.114217,200,41.619192
7693.8984,200,42.022915
3431.317421,200,42.389731
8903.44562,200,42.731603
3764.672295,112,42.976513
5738.180721,200,47.108519
3328.544829,200,47.536386
6923.657994,104,47.746228
4192.038797,74,47.88456
5847.139441,200,48.200485
1024.649411,200,48.544526
3709.290917,200,48.893614
3125.176926,68,49.053754
-202.261371,11,49.093268
3848.667494,200,49.493124
9858.894816,200,49.850667
6716.423135,200,50.168671
8724.609106,200,50.542374
3815.264767,200,55.423729
12402.833307,200,55.879345
2651.432197,119,56.161256
-840.115741,6,56.1809
8415.214054,166,56.501402
-971.963995,1,56.502204
724.903511,112,56.706186
10161.864388,200,57.046382
8275.664577,200,57.454054
19.23686,81,57.604818
338.720403,24,57.70745
8094.217627,200,58.000835
4966.610171,107,58.184012
6844.393246,200,58.551195
2073.831464,200,58.914818
7434.207045,200,63.162981
11185.277338,200,63.600762
-969.147742,2,63.60781
533.763567,200,63.973317
11674.052696,200,64.342696
12582.939434,200,64.793603
8180.378458,200,65.161284
9206.107665,200,65.584553
13459.764813,200,66.129922
9262.963673,200,66.518492
2740.226506,200,66.845824
1228.931569,200,69.299932
1059.297816,200,69.454379
10807.92905,200,69.585209
10306.945824,200,69.716742
8270.141246,200,69.849127
5740.064871,123,69.923826
14987.817421,200,70.050041
13216.678889,200,70.167275
6685.391383,200,70.295573
2381.938437,188,70.432219
4609.861935,169,70.545913
-1001.005305,1,70.547724
13150.351621,200,73.462287
13214.584098,200,73.85245
4947.621365,117,74.052661
5608.559649,200,74.425436
12652.04649,200,74.784896
-831.130495,14,74.83797
8967.618122,200,75.235161
154.653637,126,75.489352
8059.336334,162,75.83657
8569.426002,158,76.133574
7234.093434,167,76.429661
12356.827646,200,76.838428
-199.519895,13,76.889269
6454.208292,200,77.22418
10843.847398,200,80.895405
9933.771538,200,81.219233
8768.924806,200,81.627075
5379.559143,200,81.964026
11988.939946,200,82.330941
4083.444743,200,82.67616
9819.781358,200,83.106817
11365.574967,200,83.45673
-699.734976,11,83.50494
4026.70385,103,83.710747
-378.82029,32,83.779429
10052.454704,200,84.196587
561.972146,129,84.46256
12364.438071,200,88.254858
2897.899692,200,88.553547
6166.210787,200,88.952255
12661.448352,200,89.30051
4007.402654,200,89.681975
12033.816841,200,89.959417
-707.037004,23,90.036777
10801.892866,200,90.377894
-964.865397,1,90.382047
-975.743872,6,90.450161
1013.067831,200,90.813934
8965.572687,200,91.206637
10560.790558,200,91.632687
