#{"t_start": 1769017336.1027758, "env_id": "None"}
r,l,t
10679.243274,200,3.049237
15068.339976,200,3.160521
21402.487032,200,3.295725
3220.041206,200,3.420628
17228.441088,200,3.545374
6001.820937,200,3.663605
-242.041739,11,3.676864
9597.185788,200,3.797661
25634.740557,200,3.917243
3072.349284,47,3.94582
14774.66751,200,4.059299
11888.349499,141,4.146592
2706.010425,200,7.923172
6466.630597,200,8.219993
8438.362124,200,8.504821
14378.857548,200,8.816962
12524.524972,200,9.150615
12352.9642,200,9.444028
11323.560919,200,9.664084
3112.422712,200,9.963
2547.603579,200,10.235144
9447.197007,135,10.439693
19440.27645,200,14.649819
-944.667489,1,14.649819
3271.151113,200,14.945159
21455.723193,200,15.25195
-938.342986,1,15.256616
634.464295,108,15.467885
12897.494981,200,15.794862
12921.582007,200,16.24548
18690.227261,200,16.545101
-2346.1531,200,16.949309
9804.948252,200,17.304105
22647.278214,200,17.644239
16930.339251,200,17.970352
17821.871949,200,22.120338
2981.548175,200,22.41911
11287.377053,200,22.717008
17879.347789,200,23.010109
18195.599884,200,23.316581
15033.529522,200,23.657017
22391.007101,200,23.941572
-38.083114,22,23.976279
3107.61058,200,24.278751
6967.210237,142,24.524791
20357.669536,200,24.829471
1044.664302,62,24.920637
18895.281597,200,28.489592
4731.552157,105,28.642421
7388.719545,200,28.875888
6027.192255,200,29.189074
7616.229458,200,29.511989
21364.842711,200,29.836154
-504.536252,200,30.141322
21430.120002,200,30.437618
14469.946616,200,30.735788
16938.09629,200,31.023602
6805.446643,200,31.316004
21263.30266,200,35.361301
19976.100238,200,35.657305
1854.355349,200,35.96058
23643.114063,200,36.273861
13811.700807,200,36.579609
9827.334641,200,36.872761
-6588.137814,200,37.157735
-13.39228,19,37.188253
3781.298035,200,37.472925
19402.427544,200,37.7885
242.657444,15,37.808944
9711.578957,200,38.09526
18873.13934,200,42.228054
9558.903356,200,42.528632
20606.642868,200,42.823463
13070.59932,200,43.177198
-912.662179,1,43.184665
-2159.039876,200,43.505267
7236.401678,200,43.833482
6769.446362,200,44.151075
-1514.528444,200,44.480007
15164.031173,200,44.801344
13608.246551,200,45.103617
13060.892395,200,49.193641
3813.519031,58,49.276471
13724.941352,171,49.568657
19178.373925,200,49.880156
19881.218414,200,50.179712
17435.036418,200,50.491709
19247.633239,200,50.793838
9597.97655,99,50.947243
22148.625727,200,51.256701
4431.264826,200,51.564044
16077.240534,200,51.889054
15440.973251,200,52.206458
5955.913863,92,56.228832
23275.583818,200,56.550251
11100.781065,200,56.840395
21256.412697,200,57.14595
12095.420382,112,57.301731
18286.803067,195,57.598841
17518.994291,200,57.910333
24429.752357,200,58.211419
23643.533842,200,58.508756
20337.480159,200,58.816334
-852.983957,2,58.822964
12620.459241,200,59.165161
23321.640542,200,63.31368
19735.727152,200,63.557545
6007.968544,200,63.720579
8322.790222,200,63.950377
5497.146464,200,64.255887
5034.137522,87,64.386583
21849.907859,200,64.682334
15453.460062,200,64.986026
16112.648984,200,65.30106
16416.360331,200,65.649453
20519.102401,200,65.959567
-961.984235,1,65.959567
20767.06977,200,69.976989
10321.960842,200,70.264172
-880.665263,2,70.264172
-924.879203,1,70.264172
155.703728,21,70.29467
1027.772684,23,70.335392
8341.832978,200,70.650919
11525.850402,200,70.940759
17934.405544,200,71.248468
16289.506992,200,71.57477
15708.234141,200,71.717612
18145.29538,200,72.006337
18927.637806,200,72.30754
21950.855554,200,72.612559
18240.258303,200,76.463968
8477.704057,200,76.763732
16160.3025,200,77.067893
5805.362658,200,77.329524
10502.701704,200,77.516692
21128.276749,200,77.782693
-7671.323353,200,78.092815
17127.391806,200,78.395376
-920.790574,1,78.395376
10987.38202,200,78.688523
-1166.085564,11,78.709363
12935.050036,200,79.041348
17233.587992,200,82.934644
21483.35095,200,83.250166
17887.675497,200,83.54387
7579.538886,82,83.676027
25780.812589,200,83.986561
9790.031656,200,84.302161
18183.491398,200,84.589317
19476.275659,200,84.935916
17088.503938,200,85.247323
1622.632199,22,85.276248
12601.619749,193,85.56724
1666.364469,47,85.638346
5401.40933,51,85.708911
4769.480723,200,89.714093
18719.398879,200,90.018562
19058.261309,200,90.32092
22841.240643,200,90.638248
13801.591381,200,90.929292
20480.452572,200,91.237507
20583.374614,200,91.559091
17718.707605,181,91.834003
4292.1002,92,91.972352
12913.66725,200,92.301107
16767.182604,200,92.60286
12916.923647,200,96.621522
-931.493788,1,96.621522
11867.645213,200,96.915091
15423.559538,130,97.110633
8435.718361,200,97.403667
24363.155246,200,97.702507
11224.273771,200,97.999167
23191.855975,200,98.292533
6353.643141,71,98.395088
17810.234221,200,98.703295
15772.515612,164,98.946131
1076.469368,38,99.001711
1735.839895,86,99.120636
15458.060339,200,99.433374
11841.966409,200,103.237823
6718.796053,200,103.571946
2766.609092,104,103.745616
6899.696548,200,104.064108
11160.572288,200,104.385923
12350.412127,131,104.58061
15122.415341,161,104.822
13440.077639,200,105.141741
17389.015623,200,105.434667
16215.343252,200,105.736235
4900.300826,95,105.869434
6959.063219,200,106.22332
3678.179697,200,110.051987
12720.225301,200,110.368611
6631.615859,158,110.599183
11839.482933,200,110.896277
2120.464773,30,110.937577
8281.592733,200,111.251345
20701.827602,200,111.561836
23708.27051,200,111.871555
10507.948704,200,112.132072
15831.573673,200,112.454026
23440.159464,200,112.768959
15501.617956,200,119.348106
1133.189319,19,119.389819
-311.476572,8,119.400273
21634.919036,200,119.697342
19308.87028,200,120.020938
7128.271984,175,120.291624
9334.117601,200,120.622038
11827.499714,200,120.922651
-427.910755,13,120.94087
16506.218303,200,121.248758
12935.896224,200,121.567906
7570.260755,200,121.901401
21163.798723,200,122.198293
12388.284869,200,126.225698
23573.994669,200,126.534628
10846.065836,200,126.826227
22854.522093,200,127.134217
15832.347801,200,127.437834
17944.051802,200,127.739128
12276.167645,200,128.037973
19710.444399,200,128.344985
17693.416722,200,128.661478
15862.322708,200,128.962025
18872.934196,200,132.911874
20692.14225,200,133.212919
16696.972112,200,133.541449
25424.065472,200,133.846862
1284.95141,57,133.929996
-293.103646,8,133.952076
22037.864939,200,134.251642
9983.036607,200,134.574516
21420.851554,200,134.862657
-849.704858,2,134.862657
18187.127571,200,135.159439
23539.907937,200,135.468266
-843.268607,3,135.468266
18732.912031,200,135.780808
20041.699847,200,139.768888
20501.712629,200,140.073388
4800.344949,132,140.24256
26214.351367,200,140.429049
22402.182051,200,140.746977
-917.096289,1,140.746977
18454.590406,200,141.048599
11086.090189,200,141.355634
8555.777651,200,141.655708
21808.312698,200,141.975116
13939.153749,200,142.284168
18848.338081,200,142.596689
18494.53985,200,146.651131
12556.682115,200,146.961636
10938.694167,200,147.281049
18436.245153,200,147.569726
-425.724611,16,147.599994
21704.121002,200,147.902588
17991.79754,200,148.201193
1842.430565,61,148.305376
20225.578286,200,148.597449
-935.794914,1,148.604779
21583.041932,200,148.913961
20412.021246,200,149.211051
-617.715383,7,149.211051
18956.548335,200,149.52354
9672.119914,200,153.676457
13877.3871,200,153.999923
12307.147044,200,154.306939
14375.843509,200,154.611045
10484.559673,200,154.912205
15674.189529,200,155.206194
10735.783824,200,155.516922
-339.069735,18,155.549061
16967.210876,200,155.869725
21190.004439,200,156.177936
10947.349731,200,156.514289
9717.731182,200,160.562264
20302.149128,200,160.854203
21682.104768,200,161.139813
2497.139488,57,161.189232
23291.326141,200,161.385301
17645.408629,200,161.630761
3684.300646,54,161.702885
18021.535915,200,162.019607
17315.058799,200,162.309297
19792.162666,200,162.6155
1941.054724,50,162.69838
19622.750962,200,162.986312
15346.107348,200,167.029301
21756.964496,200,167.345153
18251.020891,193,167.631249
12916.903538,200,167.934458
