#{"t_start": 1769142679.8784785, "env_id": "None"}
r,l,t
10428.319333,200,4.141932
4042.061811,65,4.223934
714.054092,27,4.25602
6411.477244,200,4.496406
12795.779041,200,4.739708
5807.989076,104,4.872048
11418.338295,200,5.112121
13397.81362,200,5.386981
9594.858569,200,5.622593
9685.96625,200,5.856957
18491.66658,200,6.091887
18045.073517,200,6.35738
8609.18431,200,8.982626
3520.259031,113,9.142209
390.645393,76,9.229178
1836.319474,90,9.325375
11156.191042,200,9.57304
11870.132412,200,9.839895
14597.424124,200,10.132672
7533.331553,200,10.434716
2642.526049,200,10.71473
12220.479305,200,10.984547
6871.132567,200,11.202368
-811.326748,4,11.21263
11393.8018,196,11.446553
12638.441962,200,13.688123
3190.549217,58,13.812358
-397.527597,24,13.842072
4579.375777,200,14.139533
12578.038722,200,14.46189
2854.044638,61,14.548097
18087.809173,200,14.853851
1319.996486,36,14.950805
2288.058841,64,15.061872
8999.993373,200,15.378621
-1038.051816,10,15.394813
2504.585954,52,15.477524
13256.657218,200,15.762408
-978.234106,1,15.766832
-936.641568,3,15.772266
6540.593975,200,16.035852
4988.5016,96,16.174826
16533.501585,193,16.419884
6252.64379,200,19.691877
6737.792307,113,19.841103
11805.651354,200,20.099481
3288.526842,71,20.200746
6525.232908,99,20.325877
9352.046748,200,20.625735
9384.483469,200,20.885094
-974.874834,1,20.885094
799.246498,34,20.931905
14150.118014,200,21.221851
1480.535977,84,21.327689
11726.464196,200,21.613422
8237.597878,114,21.782446
1787.519071,171,22.028591
15333.571827,200,22.293839
12914.495428,200,25.403216
12326.425431,200,25.688731
8991.322602,200,25.973917
16375.297159,200,26.257723
14160.139367,200,26.520223
16979.377234,200,26.765181
15700.985819,200,27.032604
15844.724133,200,27.335797
9764.058962,200,27.603308
11670.376982,200,27.853064
10964.681431,200,34.791507
17719.895719,200,36.404014
408.830608,100,37.308347
10240.720855,147,38.500975
13832.481447,200,40.273155
12338.048877,200,41.953439
-272.975827,15,42.09449
11498.487009,200,43.736053
11984.29284,200,45.368274
11199.153946,200,46.953374
13939.174119,200,48.536586
1972.886935,39,48.890939
-999.768646,1,48.901885
85.881734,18,49.052544
11372.75294,200,50.022487
17193.420499,200,62.532307
7999.299464,114,63.475347
7108.952482,185,64.985754
13551.853904,200,66.623374
-593.577882,24,66.834975
16767.046401,200,68.42298
11213.94886,200,69.067702
6706.920025,136,69.707682
11470.088009,200,71.374434
12701.529053,200,73.037024
-960.452136,9,73.105642
16190.110353,200,74.283722
423.579208,37,74.515308
11893.629026,200,81.928831
15941.381501,200,83.03383
11383.92243,200,84.173677
396.105788,46,84.428181
12611.580884,200,85.625556
19396.997537,200,86.765331
14440.384965,200,87.885888
13819.715784,200,88.984822
10322.500197,200,90.098469
27.048816,12,90.195564
-994.826098,1,90.199799
4066.249501,65,90.613061
14779.335222,192,91.698974
14255.271575,200,92.872704
12767.96887,200,100.360203
8356.80383,126,101.230481
14535.383819,200,102.365888
20305.559067,200,103.42832
14753.422901,200,104.635813
17792.275992,200,105.773964
14226.409248,200,106.931649
-963.822573,1,106.940158
15846.198598,200,108.021308
10639.934087,200,109.136481
13949.643851,200,109.653215
1870.362054,131,110.36154
14531.509231,200,117.0216
4894.676428,92,117.536173
12993.302398,200,118.705918
10232.105857,200,119.851434
11424.109596,200,120.909784
15088.280092,200,122.039195
9289.197183,157,122.917768
11660.448209,200,127.364971
-100.594464,14,127.942443
10713.313477,200,129.252182
15578.98286,200,130.317205
11281.349951,200,131.262382
17085.098921,200,138.06356
9333.144625,200,139.407173
8805.503265,200,140.504758
11440.702369,200,141.552757
7211.0041,101,142.045505
1522.285774,60,142.369361
11935.10833,200,143.38072
7364.925441,134,144.12337
14713.878745,200,145.214633
12663.800771,200,146.250358
