#{"t_start": 1771044023.8945363, "env_id": "None"}
r,l,t
846.553045,200,5.188777
823.12113,200,5.447435
2026.235909,200,5.709843
2068.391129,200,5.962408
1047.160595,200,6.218992
1727.967554,200,6.526722
-43.792124,11,6.539487
1324.560745,200,6.836031
1340.851906,200,7.098896
1286.833367,200,7.358579
634.661426,125,7.522433
1930.425934,200,9.567583
1578.165526,200,9.824404
1988.592344,200,10.085759
2622.468936,200,10.362334
2269.789948,200,10.630109
-145.546978,18,10.650532
1359.920981,200,10.89798
552.19366,200,11.144993
1377.911695,200,11.401834
1524.518167,200,11.688857
2448.132471,200,11.948478
1505.171007,200,13.647054
1983.639246,200,13.910494
661.680595,200,14.16258
1537.448044,200,14.416118
281.66685,87,14.529951
1457.016492,200,14.788832
746.458503,122,14.950247
1532.778758,200,15.20734
354.125823,32,15.255949
1623.69292,200,15.527697
1407.586926,200,15.800486
1299.021793,200,16.067322
2148.730712,200,17.745365
1062.930427,200,18.021995
1874.14567,200,18.284884
1454.591288,200,18.553595
-190.068634,1,18.553595
926.254383,200,18.81767
-77.615077,15,18.837994
1529.163718,200,19.108635
2275.299373,200,19.377947
2111.532941,200,19.654483
1541.76536,200,19.934727
2178.33463,200,20.215494
2010.002779,200,21.878104
1494.894696,200,22.162953
412.553595,146,22.358885
1943.645852,200,22.637551
1445.138714,200,22.919805
492.596619,62,23.006103
1942.411337,200,23.292316
1929.643799,200,23.580989
1770.052396,200,23.885138
-178.788988,3,23.885138
1176.200033,200,24.18547
1404.702895,200,24.489758
1933.366229,200,24.782852
1937.678338,200,26.360588
2451.779021,200,26.640298
1860.361736,200,26.924653
1089.276751,200,27.223304
2060.755429,200,27.50742
1365.462504,200,27.790602
1190.171522,200,28.060898
2198.040059,200,28.342245
1836.104176,200,28.630496
1818.443152,200,28.925546
2573.787491,200,30.580695
2089.623578,200,30.850752
2316.738098,200,31.128649
-94.042364,19,31.156863
1457.945231,200,31.429167
44.291713,41,31.488664
1847.499172,200,31.762917
2156.886986,200,32.059315
-149.153272,3,32.063339
1871.831608,200,32.368082
1527.495633,200,32.656951
1697.569798,200,32.939267
395.10789,59,33.023344
1877.921183,200,34.692334
1342.017343,200,34.977086
2119.383379,200,35.277161
141.706485,40,35.337417
20.001425,29,35.385403
2000.58483,200,35.717931
2294.550962,200,36.038197
1687.214955,200,36.364771
2141.354409,200,36.711792
-191.811543,2,36.718977
2101.555661,200,37.079458
1118.868742,200,37.455678
1422.893771,200,37.815548
1607.177338,200,39.795135
2314.942947,200,40.086506
720.078974,87,40.211157
1247.352186,200,40.502546
1863.772695,200,40.789532
2580.666126,200,41.081634
171.99418,53,41.155797
-175.31172,2,41.155797
2373.486612,200,41.440017
919.574795,200,41.720026
1695.54273,200,42.003791
1805.372387,200,42.282899
2420.347125,200,42.594068
2154.556858,200,44.282107
2184.421488,200,44.564748
1677.704448,200,44.83901
51.454392,13,44.858601
2600.289314,200,45.128661
1992.334351,200,45.423513
2120.703181,200,45.711622
2750.437756,200,45.996917
-197.346187,1,46.002441
1929.048225,200,46.287049
2207.569562,200,46.57652
1719.339157,200,46.857577
2529.792388,200,48.556578
2193.813276,200,48.82897
1744.895453,200,49.10394
2608.030395,200,49.384451
1388.067929,109,49.526792
2367.48263,200,49.809301
2373.474044,200,50.090866
2699.598227,200,50.368653
1881.402654,200,50.648993
1989.611777,200,50.93422
1352.074268,100,51.070729
-176.020754,10,51.09094
2488.819505,200,52.779979
1853.539509,200,53.061624
1702.450914,200,53.332422
3095.186827,200,53.619045
1759.201365,200,53.892974
1959.970096,200,54.174162
1907.056329,200,54.457553
2557.789578,200,54.73668
2260.231821,200,55.026357
2215.505229,200,55.311948
-74.502681,15,55.328755
96.247867,36,55.389785
2137.581523,200,57.136175
2131.80788,200,57.40861
226.193921,44,57.466531
-196.965175,2,57.474968
2359.84054,200,57.767474
2029.495267,200,58.067488
1722.347784,200,58.353068
2164.907351,200,58.630462
1702.501787,200,58.89879
1431.384672,200,59.178939
2785.358219,200,59.473996
